Date,Dayofweek,Attended,Arrival,Departure,TotalTime,TotalMinutes,DogInteractions,Weather,Temperature,Precipitation,Busyness,Averagedogsbydayofweek,Totaldogsbydaysofweek,TotalMinutesByDay,AverageBusyness
3/1/2023,Wednesday,y,5:08:00 PM,6:08:00 PM,1:00:00,60,25,Sunny,73,0,3,,,,
3/2/2023,Thursday,y,5:13:00 PM,6:17:00 PM,1:04:00,64,18,Sunny,50,0,4,,,,
3/9/2023,Thursday,y,6:08:00 PM,6:30:00 PM,0:22:00,22,0,Rain showers,50,90,2,,,,
3/10/2023,Friday,y,5:04:00 PM,6:01:00 PM,0:57:00,57,7,Cloudy,37,20,2,,,,
3/11/2023,Saturday,y,1:00:00 PM,1:45:00 PM,0:45:00,45,4,Cloudy,43,0,3,,,,
3/13/2023,Monday,y,2:45:00 PM,3:15:00 PM,0:30:00,30,0,Snowing,30,30,4,,,,
3/14/2023,Tuesday,y,5:16:00 PM,6:05:00 PM,0:49:00,49,11,Mostly cloudy,39,0,5,,,,
3/15/2023,Wednesday,y,5:08:00 PM,6:13:00 PM,1:05:00,65,12,Sunny ,50,0,3,,,,
3/17/2023,Friday,y,5:18:00 PM,6:08:00 PM,0:50:00,50,9,Cloudy,33,0,3,,,,
3/18/2023,Saturday,y,4:36:00 PM,5:18:00 PM,0:42:00,42,8,Snowing,22,40,1,,,,
3/19/2023,Sunday,y,2:35:00 PM,3:26:00 PM,0:51:00,51,2,Sunny,32,0,1,,,,
3/20/2023,Monday,y,5:05:00 PM,6:03:00 PM,0:58:00,58,10,Sunny,51,0,3,,,,
3/21/2023,Tuesday,y,5:24:00 PM,6:13:00 PM,0:49:00,49,9,Cloudy,54,2,4,,,,
3/23/2023,Thursday,y,5:34:00 PM,6:17:00 PM,0:43:00,43,3,Rain,51,30,5,,,,
3/26/2023,Sunday,y,12:51:00 PM,2:07:00 PM,1:16:00,76,3,Sunny,57,0,1,,,,
3/27/2023,Monday,y,7:22:00 PM,8:02:00 PM,0:40:00,40,1,Cloudy,43,5,4,,,,
3/28/2023,Tuesday,y,5:20:00 PM,6:10:00 PM,0:50:00,50,8,Sunny,49,0,4,,,,
3/29/2023,Wednesday,y,5:08:00 PM,6:17:00 PM,1:09:00,69,14,Cloudy,52,0,4,,,,
3/30/2023,Thursday,y,5:09:00 PM,6:09:00 PM,1:00:00,60,18,Sunny,60,0,3,,,,
3/31/2023,Friday,y,4:36:00 PM,5:26:00 PM,0:50:00,50,2,Cloudy,63,20,2,,,,
4/2/2023,Sunday,y,3:45:00 PM,4:51:00 PM,1:06:00,66,5,Sunny,52,0,1,,,,
4/3/2023,Monday,y,5:12:00 PM,6:09:00 PM,0:57:00,57,15,Mostly cloudy,74,0,3,,,,
4/4/2023,Tuesday,y,7:16:00 PM,8:04:00 PM,0:48:00,48,12,Sunny,77,0,4,,,,
4/6/2023,Thursday,y,5:02:00 PM,6:09:00 PM,1:07:00,67,5,Sunny,53,0,3,,,,
4/7/2023,Friday,y,5:14:00 PM,6:12:00 PM,0:58:00,58,18,Sunny,59,0,3,,,,
4/8/2023,Saturday,y,12:09:00 PM,1:10:00 PM,1:01:00,61,2,Sunny,53,0,2,,,,
4/9/2023,Sunday,y,11:25:00 AM,12:18:00 PM,0:53:00,53,6,Sunny,57,0,4,,,,
4/10/2023,Monday,y,7:45:00 PM,8:08:00 PM,0:23:00,23,0,Sunny,68,0,4,,,,
4/11/2023,Tuesday,y,5:38:00 PM,6:37:00 PM,0:59:00,59,9,Sunny,76,0,5,,,,
4/12/2023,Wednesday,y,4:59:00 PM,6:01:00 PM,1:02:00,62,9,Sunny,79,0,3,,,,
4/13/2023,Thursday,y,7:15:00 PM,8:22:00 PM,1:07:00,67,5,Sunny,79,0,3,,,,
4/15/2023,Saturday,y,12:00:00 PM,12:44:00 PM,0:44:00,44,7,Sunny,75,0,2,,,,
4/16/2023,Sunday,y,8:43:00 AM,9:33:00 AM,0:50:00,50,4,Mostly cloudy,61,60,1,,,,
4/17/2023,Monday,y,5:08:00 PM,5:57:00 PM,0:49:00,49,1,Cloudy,44,0,3,,,,
4/18/2023,Tuesday,y,5:26:00 PM,6:28:00 PM,1:02:00,62,14,Sunny,61,0,4,,,,
4/19/2023,Wednesday,y,7:38:00 PM,8:39:00 PM,1:01:00,61,4,Sunny,81,0,4,,,,
4/20/2023,Thursday,y,7:23:00 PM,8:16:00 PM,0:53:00,53,1,Partly cloudy,85,0,4,,,,
4/21/2023,Friday,y,5:19:00 PM,6:05:00 PM,0:46:00,46,7,Mostly cloudy,52,10,3,,,,
4/22/2023,Saturday,y,3:12:00 PM,4:19:00 PM,1:07:00,67,1,Cloudy,49,5,1,,,,
4/23/2023,Sunday,y,12:32:00 PM,1:20:00 PM,0:48:00,48,3,Cloudy,43,0,2,,,,
4/24/2023,Monday,y,7:25:00 PM,7:59:00 PM,0:34:00,34,4,Partly cloudy,52,0,5,,,,
4/25/2023,Tuesday,y,6:56:00 PM,7:50:00 PM,0:54:00,54,3,Partly cloudy,57,20,5,,,,
4/26/2023,Wednesday,y,8:00:00 PM,8:49:00 PM,0:49:00,49,3,Sunny,58,0,5,,,,
4/27/2023,Thursday,y,5:05:00 PM,6:02:00 PM,0:57:00,57,9,Cloudy,66,0,3,,,,
4/28/2023,Friday,y,5:10:00 PM,6:02:00 PM,0:52:00,52,6,Cloudy ,54,20,2,,,,
4/29/2023,Saturday,y,1:48:00 PM,2:38:00 PM,0:50:00,50,4,Sunny,69,15,1,,,,
4/30/2023,Sunday,y,8:05:00 PM,9:03:00 PM,0:58:00,58,3,Partly cloudy,43,10,3,,,,
5/2/2023,Tuesday,y,8:11:00 PM,9:00:00 PM,0:49:00,49,8,Cloudy,54,60,4,,,,
5/3/2023,Wednesday,y,8:05:00 PM,8:57:00 PM,0:52:00,52,1,Sunny,58,0,5,,,,
5/4/2023,Thursday,y,8:10:00 PM,9:00:00 PM,0:50:00,50,1,Sunny,66,0,5,,,,
5/5/2023,Friday,y,2:55:00 PM,3:20:00 PM,0:25:00,25,1,Sunny,75,0,5,,,,
5/6/2023,Saturday,y,10:24:00 AM,10:54:00 AM,0:30:00,30,2,Cloudy,64,0,3,,,,
5/7/2023,Sunday,y,12:02:00 PM,12:51:00 PM,0:49:00,49,1,Sunny,73,20,2,,,,
5/8/2023,Monday,y,6:17:00 PM,7:12:00 PM,0:55:00,55,7,Cloudy,77,20,4,,,,
5/9/2023,Tuesday,y,6:13:00 PM,7:07:00 PM,0:54:00,54,15,Sunny,75,0,4,,,,
5/10/2023,Wednesday,y,7:19:00 PM,8:08:00 PM,0:49:00,49,8,Sunny,75,0,5,,,,
5/11/2023,Thursday,y,8:14:00 AM,8:51:00 AM,0:37:00,37,2,Sunny,59,0,1,,,,
5/14/2023,Sunday,y,2:37:00 PM,3:30:00 PM,0:53:00,53,8,Cloudy,74,20,3,,,,
5/15/2023,Monday,y,7:16:00 PM,8:04:00 PM,0:48:00,48,5,Partly cloudy,73,0,3,,,,
5/16/2023,Tuesday,y,5:29:00 PM,6:21:00 PM,0:52:00,52,8,Partly cloudy,66,0,5,,,,
5/17/2023,Wednesday,y,5:17:00 PM,6:22:00 PM,1:05:00,65,11,Sunny,72,0,3,,,,
5/18/2023,Thursday,y,6:40:00 PM,7:34:00 PM,0:54:00,54,5,Sunny,75,0,3,,,,
5/19/2023,Friday,y,5:37:00 PM,6:04:00 PM,0:27:00,27,1,Mostly cloudy,82,20,3,,,,
5/20/2023,Saturday,y,1:47:00 PM,2:49:00 PM,1:02:00,62,4,Partly cloudy,64,0,2,,,,
5/21/2023,Sunday,y,3:21:00 PM,3:56:00 PM,0:35:00,35,15,Sunny,78,0,2,,,,
5/22/2023,Monday,y,8:36:00 PM,9:25:00 PM,0:49:00,49,0,Sunny,81,0,4,,,,
5/23/2023,Tuesday,y,8:20:00 PM,9:21:00 PM,1:01:00,61,7,Sunny,82,0,4,,,,
5/24/2023,Wednesday,y,7:01:00 AM,7:50:00 AM,0:49:00,49,1,Sunny,56,0,5,,,,
5/25/2023,Thursday,y,8:36:00 PM,9:27:00 PM,0:51:00,51,1,Sunny,67,0,3,,,,
5/26/2023,Friday,y,4:14:00 PM,5:25:00 PM,1:11:00,71,20,Sunny,76,0,3,,,,
5/27/2023,Saturday,y,6:00:00 PM,7:05:00 PM,1:05:00,65,11,Sunny,78,0,2,,,,
5/28/2023,Sunday,y,11:15:00 AM,12:16:00 PM,1:01:00,61,1,Partly cloudy,72,0,2,,,,
5/29/2023,Monday,y,9:00:00 AM,9:45:00 AM,0:45:00,45,3,Sunny,66,0,2,,,,
5/30/2023,Tuesday,y,8:19:00 PM,9:09:00 PM,0:50:00,50,8,Partly cloudy,80,20,4,,,,
5/31/2023,Wednesday,y,8:28:00 PM,9:28:00 PM,1:00:00,60,0,Mostly sunny,75,0,5,,,,
6/1/2023,Thursday,y,9:03:00 PM,9:35:00 PM,0:32:00,32,2,Sunny,83,0,4,,,,
6/2/2023,Friday,y,9:04:00 PM,9:45:00 PM,0:41:00,41,0,Sunny,84,0,3,,,,
6/3/2023,Saturday,y,6:19:00 AM,7:23:00 AM,1:04:00,64,1,Clear,65,1,1,,,,
6/4/2023,Sunday,y,7:38:00 AM,8:50:00 AM,1:12:00,72,5,Sunny,63,0,2,,,,
6/5/2023,Monday,y,6:27:00 AM,7:21:00 AM,0:54:00,54,1,Clear,53,0,4,,,,
6/17/2023,Saturday,y,8:27:00 AM,9:00:00 AM,0:33:00,33,4,Sunny,59,0,3,,,,
6/18/2023,Sunday,y,8:30:00 PM,9:15:00 PM,0:45:00,45,4,Sunny,80,0,3,,,,
6/19/2023,Monday,y,7:44:00 PM,8:30:00 PM,0:46:00,46,4,Mostly cloudy,78,10,1,,,,
6/20/2023,Tuesday,y,6:45:00 PM,7:38:00 PM,0:53:00,53,3,Cloudy,81,10,4,,,,
6/21/2023,Wednesday,y,8:32:00 PM,9:21:00 PM,0:49:00,49,3,Sunny,81,0,4,,,,
6/22/2023,Thursday,y,6:03:00 PM,6:48:00 PM,0:45:00,45,6,Cloudy,73,0,2,,,,
6/23/2023,Friday,y,5:51:00 PM,6:55:00 PM,1:04:00,64,5,Partly cloudy,81,5,2,,,,
6/24/2023,Saturday,y,11:31:00 AM,12:10:00 PM,0:39:00,39,7,Sunny,81,0,2,,,,
6/25/2023,Sunday,y,7:50:00 PM,8:44:00 PM,0:54:00,54,1,Sunny,81,5,3,,,,
6/26/2023,Monday,y,7:52:00 PM,8:52:00 PM,1:00:00,60,7,Mostly cloudy,74,10,4,,,,
6/28/2023,Wednesday,y,8:48:00 PM,9:11:00 PM,0:23:00,23,1,Cloudy,78,0,3,,,,
7/1/2023,Saturday,y,7:32:00 PM,8:19:00 PM,0:47:00,47,0,Partly cloudy,82,20,2,,,,
7/2/2023,Sunday,y,8:02:00 AM,8:52:00 AM,0:50:00,50,6,Cloudy,70,10,3,,,,
7/3/2023,Monday,y,8:00:00 PM,8:54:00 PM,0:54:00,54,9,Partly cloudy,83,20,3,,,,
7/5/2023,Wednesday,y,8:25:00 PM,9:13:00 PM,0:48:00,48,1,Partly cloudy,85,20,3,,,,
7/6/2023,Thursday,y,8:34:00 PM,9:33:00 PM,0:59:00,59,1,Partly cloudy,80,0,3,,,,
7/7/2023,Friday,y,8:42:00 PM,9:44:00 PM,1:02:00,62,15,Sunny,82,0,3,,,,
7/9/2023,Sunday,y,8:22:00 PM,9:20:00 PM,0:58:00,58,6,Sunny,78,0,2,,,,
7/10/2023,Monday,y,8:38:00 PM,9:37:00 PM,0:59:00,59,2,Partly cloudy,80,0,3,,,,
7/11/2023,Tuesday,y,8:28:00 PM,9:25:00 PM,0:57:00,57,4,Sunny,83,0,4,,,,
7/12/2023,Wednesday,y,8:43:00 PM,9:31:00 PM,0:48:00,48,0,Sunny,83,20,4,,,,
7/13/2023,Thursday,y,8:18:00 PM,9:34:00 PM,1:16:00,76,3,Cloudy,79,5,3,,,,
7/14/2023,Friday,y,8:49:00 PM,9:32:00 PM,0:43:00,43,3,Sunny,85,20,4,,,,
7/15/2023,Saturday,y,7:35:00 AM,8:28:00 AM,0:53:00,53,2,Partly cloudy,70,39,4,,,,
7/18/2023,Tuesday,y,8:22:00 PM,8:58:00 PM,0:36:00,36,4,Partly cloudy,79,20,4,,,,
7/19/2023,Wednesday,y,9:00:00 PM,9:37:00 PM,0:37:00,37,1,Partly cloudy,81,20,4,,,,
7/20/2023,Thursday,y,8:46:00 PM,9:39:00 PM,0:53:00,53,1,Partly cloudy,79,20,4,,,,
7/21/2023,Friday,y,8:18:00 PM,9:13:00 PM,0:55:00,55,5,Sunny,77,0,3,,,,
7/22/2023,Saturday,y,8:39:00 PM,9:26:00 PM,0:47:00,47,2,Partly cloudy ,77,0,3,,,,
7/23/2023,Sunday,y,8:35:00 AM,9:17:00 AM,0:42:00,42,3,Sunny,66,20,2,,,,
7/24/2023,Monday,y,8:07:00 PM,9:03:00 PM,0:56:00,56,1,Partly cloudy ,78,10,4,,,,
7/25/2023,Tuesday,y,8:30:00 PM,9:11:00 PM,0:41:00,41,2,Sunny,83,0,4,,,,
7/26/2023,Wednesday,y,7:10:00 AM,7:46:00 AM,0:36:00,36,0,Partly cloudy,72,10,3,,,,
7/27/2023,Thursday,y,9:04:00 PM,9:37:00 PM,0:33:00,33,0,Sunny,86,20,3,,,,
7/29/2023,Saturday,y,8:33:00 PM,9:22:00 PM,0:49:00,49,2,Mostly sunny,81,0,3,,,,
7/30/2023,Sunday,y,8:46:00 AM,10:04:00 AM,1:18:00,78,8,Sunny,68,0,3,,,,
7/31/2023,Monday,y,8:44:00 PM,9:30:00 PM,0:46:00,46,3,Sunny,76,0,3,,,,
8/1/2023,Tuesday,y,8:23:00 PM,9:15:00 PM,0:52:00,52,0,Sunny,77,0,3,,,,
8/2/2023,Wednesday,y,8:37:00 PM,9:21:00 PM,0:44:00,44,1,Mostly sunny,77,0,4,,,,
8/3/2023,Thursday,y,8:39:00 PM,9:27:00 PM,0:48:00,48,2,Sunny,82,0,3,,,,
8/4/2023,Friday,y,8:26:00 AM,9:20:00 AM,0:54:00,54,2,Sunny,86,0,2,,,,
8/6/2023,Sunday,y,6:25:00 PM,7:13:00 PM,0:48:00,48,1,Partly cloudy,77,4,4,,,,
8/7/2023,Monday,y,6:01:00 PM,6:54:00 PM,0:53:00,53,8,Cloudy,73,0,3,,,,
8/8/2023,Tuesday,y,7:45:00 PM,8:50:00 PM,1:05:00,65,1,Mostly cloudy,72,15,4,,,,
8/9/2023,Wednesday,y,4:58:00 PM,5:30:00 PM,0:32:00,32,0,Cloudy,78,20,3,,,,
8/10/2023,Thursday,y,8:21:00 PM,9:17:00 PM,0:56:00,56,4,Sunny,78,0,3,,,,
8/13/2023,Sunday,y,8:03:00 PM,8:53:00 PM,0:50:00,50,3,Mostly sunny,80,0,2,,,,
8/14/2023,Monday,y,8:28:00 PM,9:04:00 PM,0:36:00,36,0,Mostly cloudy ,73,20,4,,,,
8/15/2023,Tuesday,y,6:52:00 PM,7:40:00 PM,0:48:00,48,2,Cloudy ,70,0,4,,,,
8/16/2023,Wednesday,y,8:17:00 PM,9:07:00 PM,0:50:00,50,1,Mostly sunny ,76,0,3,,,,
8/17/2023,Thursday,y,7:04:00 PM,7:44:00 PM,0:40:00,40,0,Clear,60,0,3,,,,
8/18/2023,Friday,y,8:16:00 PM,9:00:00 PM,0:44:00,44,1,Mostly sunny,72,0,3,,,,
8/19/2023,Saturday,y,8:11:00 PM,8:58:00 PM,0:47:00,47,0,Sunny,75,0,4,,,,
8/20/2023,Sunday,y,8:22:00 PM,8:59:00 PM,0:37:00,37,0,Cloudy,85,0,3,,,,
8/21/2023,Monday,y,7:01:00 AM,7:39:00 AM,0:38:00,38,0,Partly cloudy,74,3,3,,,,
8/22/2023,Tuesday,y,7:50:00 PM,8:35:00 PM,0:45:00,45,1,Sunny,84,0,5,,,,
8/23/2023,Wednesday,y,8:19:00 PM,8:54:00 PM,0:35:00,35,0,Sunny,87,5,4,,,,
8/24/2023,Thursday,y,7:12:00 AM,7:55:00 AM,0:43:00,43,4,Mostly cloudy,79,10,3,,,,
8/25/2023,Friday,y,7:00:00 AM,7:45:00 AM,0:45:00,45,3,Clear,80,5,3,,,,
8/28/2023,Monday,y,7:57:00 PM,8:44:00 PM,0:47:00,47,0,Sunny,75,0,4,,,,
8/29/2023,Tuesday,y,8:15:00 PM,8:54:00 PM,0:39:00,39,3,Mostly sunny,78,10,4,,,,
8/31/2023,Thursday,y,8:14:00 PM,8:48:00 PM,0:34:00,34,0,Sunny,73,0,5,,,,
9/1/2023,Friday,y,7:05:00 PM,7:56:00 PM,0:51:00,51,1,Sunny,81,0,4,,,,
9/3/2023,Sunday,y,8:04:00 PM,8:51:00 PM,0:47:00,47,2,Sunny,84,0,1,,,,
9/4/2023,Monday,y,8:12:00 PM,8:37:00 PM,0:25:00,25,2,Mostly sunny,85,0,1,,,,
9/5/2023,Tuesday,y,7:54:00 PM,8:27:00 PM,0:33:00,33,2,Sunny,83,60,2,,,,
9/6/2023,Wednesday,y,7:07:00 PM,7:45:00 PM,0:38:00,38,0,Mostly cloudy,71,20,5,,,,
9/7/2023,Thursday,y,8:00:00 PM,8:37:00 PM,0:37:00,37,1,Cloudy,71,0,5,,,,
9/8/2023,Friday,y,7:07:00 AM,7:44:00 AM,0:37:00,37,0,Cloudy,62,5,3,,,,
9/9/2023,Saturday,y,7:02:00 PM,8:01:00 PM,0:59:00,59,6,Partly cloudy,72,0,4,,,,
9/10/2023,Sunday,y,7:46:00 PM,8:19:00 PM,0:33:00,33,0,Sunny,76,0,4,,,,
9/11/2023,Monday,y,7:20:00 PM,8:05:00 PM,0:45:00,45,0,Sunny,77,20,4,,,,
9/12/2023,Tuesday,y,6:59:00 PM,7:55:00 PM,0:56:00,56,1,Mostly cloudy,72,0,4,,,,
9/15/2023,Friday,y,6:46:00 PM,7:30:00 PM,0:44:00,44,8,Sunny,75,0,5,,,,
9/16/2023,Saturday,y,7:35:00 PM,8:09:00 PM,0:34:00,34,1,Mostly cloudy ,67,0,3,,,,
9/17/2023,Sunday,y,6:47:00 PM,7:17:00 PM,0:30:00,30,2,Mostly cloudy,71,20,3,,,,
9/18/2023,Monday,y,7:28:00 PM,8:20:00 PM,0:52:00,52,3,Sunny,65,0,5,,,,
9/19/2023,Tuesday,y,7:27:00 PM,8:13:00 PM,0:46:00,46,1,Sunny,74,0,4,,,,
9/20/2023,Wednesday,y,7:25:00 PM,8:10:00 PM,0:45:00,45,1,Sunny,79,0,5,,,,
9/21/2023,Thursday,y,6:18:00 PM,7:07:00 PM,0:49:00,49,11,Partly cloudy,79,0,4,,,,
9/22/2023,Friday,y,6:59:00 PM,7:57:00 PM,0:58:00,58,5,Sunny,80,0,3,,,,
9/23/2023,Saturday,y,8:05:00 AM,8:38:00 AM,0:33:00,33,0,Sunny,53,0,2,,,,
9/24/2023,Sunday,y,6:27:00 PM,7:27:00 PM,1:00:00,60,3,Partly cloudy,79,0,3,,,,
9/25/2023,Monday,y,7:08:00 PM,7:55:00 PM,0:47:00,47,4,Mostly sunny,79,0,5,,,,
9/26/2023,Tuesday,y,5:17:00 PM,6:00:00 PM,0:43:00,43,6,Sunny,77,20,4,,,,
9/29/2023,Friday,y,7:15:00 PM,7:58:00 PM,0:43:00,43,4,Mostly sunny,74,0,4,,,,
9/30/2023,Saturday,y,4:18:00 PM,5:04:00 PM,0:46:00,46,5,Sunny,83,0,3,,,,
10/1/2023,Sunday,y,8:53:00 AM,9:37:00 AM,0:44:00,44,2,Sunny,58,0,4,,,,
10/2/2023,Monday,y,7:02:00 PM,7:50:00 PM,0:48:00,48,4,Sunny,83,0,4,,,,
10/3/2023,Tuesday,y,7:07:00 PM,7:49:00 PM,0:42:00,42,1,Sunny,83,0,3,,,,
10/4/2023,Wednesday,y,6:44:00 PM,7:37:00 PM,0:53:00,53,6,Sunny,79,0,3,,,,
10/6/2023,Friday,y,4:18:00 PM,5:10:00 PM,0:52:00,52,16,Sunny,68,0,4,,,,
10/7/2023,Saturday,y,6:03:00 PM,6:46:00 PM,0:43:00,43,3,Partly cloudy,59,0,2,,,,
10/8/2023,Sunday,y,11:56:00 AM,12:34:00 PM,0:38:00,38,1,Cloudy,51,10,2,,,,
10/9/2023,Monday,y,5:13:00 PM,6:03:00 PM,0:50:00,50,4,Cloudy,60,0,4,,,,
10/10/2023,Tuesday,y,6:20:00 PM,7:02:00 PM,0:42:00,42,4,Sunny,62,0,4,,,,
10/11/2023,Wednesday,y,7:17:00 PM,7:46:00 PM,0:29:00,29,0,Cloudy,65,0,3,,,,
10/13/2023,Friday,y,6:03:00 PM,6:50:00 PM,0:47:00,47,1,Cloudy,73,20,3,,,,
10/14/2023,Saturday,y,2:55:00 PM,3:53:00 PM,0:58:00,58,3,Cloudy,55,20,2,,,,
10/21/2023,Saturday,y,4:04:00 PM,5:07:00 PM,1:03:00,63,8,Sunny,72,0,4,,,,
10/23/2023,Monday,y,5:02:00 PM,5:52:00 PM,0:50:00,50,13,Sunny,68,0,4,,,,
10/24/2023,Tuesday,y,5:33:00 PM,6:28:00 PM,0:55:00,55,11,Partly cloudy,74,0,4,,,,
10/26/2023,Thursday,y,5:21:00 PM,6:25:00 PM,1:04:00,64,9,Mostly sunny,74,0,3,,,,
10/27/2023,Friday,y,6:40:00 PM,7:16:00 PM,0:36:00,36,2,Partly cloudy,75,5,3,,,,
10/28/2023,Saturday,y,4:16:00 PM,5:07:00 PM,0:51:00,51,2,Cloudy,55,20,3,,,,
10/29/2023,Sunday,y,11:51:00 AM,12:35:00 PM,0:44:00,44,1,Cloudy,49,20,4,,,,
10/30/2023,Monday,y,6:07:00 PM,6:58:00 PM,0:51:00,51,7,Sunny,44,0,5,,,,
10/31/2023,Tuesday,y,5:37:00 PM,6:22:00 PM,0:45:00,45,6,Cloudy,20,0,4,,,,
11/1/2023,Wednesday,y,6:08:00 PM,7:00:00 PM,0:52:00,52,1,Mostly cloudy,44,0,4,,,,
11/2/2023,Thursday,y,5:45:00 PM,6:41:00 PM,0:56:00,56,9,Sunny,54,0,4,,,,
11/3/2023,Friday,y,4:38:00 PM,5:27:00 PM,0:49:00,49,7,Sunny,60,0,3,,,,
